date | value
2009-01-01 | 1
2009-01-02 | 1
2009-01-03 | 1
2009-01-04 | 1
2009-01-05 | 1
2009-01-06 | 1
2009-01-07 | 1
2009-01-08 | 1
2009-01-09 | 1
2009-01-10 | 1
2009-01-11 | 1
2009-01-12 | 1
2009-01-13 | 1
2009-01-14 | 1
2009-01-15 | 1
2009-01-16 | 1
2009-01-17 | 1
2009-01-18 | 1
2009-01-19 | 1
2009-01-20 | 1
2009-01-20 | 1
2009-02-01 | 1
2009-03-01 | 1
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11 | 2147483648
